Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll RFU,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TAL PE RFU,TDS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:42,0,hurricane island,0.25,0.46,40336.9,0.045,49943.2,96,98.7,7.84,0.065,32.21,49222.3,0.54,2.23,31995,1.206,NA,NA,15.549,0.385,44.04052,-68.89125,3.6,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:43,0,hurricane island,0.3,0.5,40293.4,0.048,50122.3,97.1,99.9,7.95,0.07,32.32,49389.5,0.47,2.25,32103,1.206,NA,NA,15.331,0.174,44.04052,-68.89125,3.7,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:44,0,hurricane island,0.34,0.5,40281.5,0.048,50229.7,97.4,100.2,7.99,0.07,32.4,49490.6,0.45,2.28,32169,1.206,NA,NA,15.258,0.08,44.04052,-68.89125,3.8,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:45,0,hurricane island,0.37,0.49,40,0.048,50.1,103.2,106.2,8.5,0.071,0.02,49.4,0.39,2.23,32,1.206,NA,NA,15.064,0.023,44.04052,-68.89125,4,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:46,0,hurricane island,0.38,0.49,62.6,0.05,78.5,104,107,10.47,0.071,0.04,77.3,0.38,2.21,50,1.206,NA,NA,15.018,0.018,44.04052,-68.89125,4.1,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:47,0,hurricane island,0.38,0.48,64.3,0.05,80.6,104.1,107.1,10.49,0.071,0.04,79.4,0.36,2.21,52,1.206,NA,NA,15.004,0.018,44.04052,-68.89125,4.2,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:48,0,hurricane island,0.39,0.49,113.4,0.05,142.4,103.7,106.7,10.46,0.07,0.07,140.3,0.32,2.24,91,1.206,NA,NA,14.989,0.016,44.04052,-68.89125,4.4,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:49,0,hurricane island,0.35,0.48,118.2,0.05,148.4,103.3,106.3,10.42,0.07,0.07,146.1,0.31,2.29,95,1.206,NA,NA,14.991,0.016,44.04052,-68.89125,4.6,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:50,0,hurricane island,0.31,0.45,113.6,0.05,142.6,103.1,106.1,10.4,0.07,0.07,140.4,0.31,2.35,91,1.206,NA,NA,14.993,0.016,44.04052,-68.89125,4.7,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:51,0,hurricane island,0.26,0.42,54.4,0.049,68.2,102.5,105.5,10.34,0.07,0.03,67.2,0.32,2.39,44,1.206,NA,NA,15.009,0.015,44.04052,-68.89125,4.9,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:52,0,hurricane island,0.2,0.4,42.6,0.049,53.4,102.1,105.1,10.3,0.07,0.02,52.6,0.32,2.43,34,1.206,NA,NA,15.019,0.015,44.04052,-68.89125,4.7,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:53,0,hurricane island,0.17,0.39,40.5,0.049,50.8,102,104.9,10.28,0.07,0.02,50.1,0.34,2.49,33,1.206,NA,NA,15.025,0.014,44.04052,-68.89125,4.7,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:54,0,hurricane island,0.12,0.37,32.1,0.049,40.2,101.5,104.5,10.23,0.07,0.02,39.6,0.34,2.54,26,1.206,NA,NA,15.044,0.014,44.04052,-68.89126,4.8,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:55,0,hurricane island,0.12,0.36,31.3,0.049,39.2,96.6,99.5,9.74,0.07,0.02,38.6,0.3,2.54,25,1.206,NA,NA,15.047,0.013,44.04052,-68.89126,4.5,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:56,0,hurricane island,0.16,0.39,31.3,0.049,39.2,97,99.8,9.77,0.07,0.02,38.6,0.22,2.55,25,1.206,NA,NA,15.032,0.013,44.04052,-68.89126,4.7,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:57,0,hurricane island,0.2,0.42,40314.8,0.051,50563.7,99,101.8,9.97,0.074,32.62,49808.6,0.18,2.53,32376,1.206,NA,NA,15.019,0.132,44.04052,-68.89126,5.2,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:58,0,hurricane island,0.26,0.45,40289.2,0.059,50549.8,99.7,102.6,8.23,0.086,32.61,49794.1,0.17,2.53,32366,1.206,NA,NA,15.006,0.261,44.04052,-68.89126,5.2,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:59,0,hurricane island,0.31,0.46,40305.2,0.062,50598.6,100,102.9,8.25,0.09,32.65,49841.1,0.16,2.57,32397,1.206,NA,NA,14.979,0.278,44.04052,-68.89126,6,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:26:00,0,hurricane island,0.35,0.49,40291.7,0.074,50627.9,101,104,8.34,0.108,32.67,49868.3,0.15,2.57,32414,1.206,NA,NA,14.946,0.333,44.04052,-68.89126,6.7,6.26,11.7,761.2,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:26:01,0,hurricane island,0.39,0.52,40278.4,0.085,50662,101.5,104.4,8.38,0.124,32.69,49900.1,0.12,2.59,32435,1.206,NA,NA,14.898,0.439,44.04052,-68.89126,6.6,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:26:02,0,hurricane island,0.46,0.53,40276.6,0.092,50728.6,101.7,104.7,8.41,0.134,32.73,49963.1,0.11,2.59,32476,1.206,NA,NA,14.85,0.471,44.04052,-68.89126,6,6.26,11.7,761.2,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:26:03,0,hurricane island,0.52,0.53,40279.5,0.111,50800.5,102.3,105.3,8.47,0.162,32.78,50031.5,0.03,2.62,32520,1.206,NA,NA,14.787,0.471,44.04052,-68.89126,5.9,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:26:04,0,hurricane island,0.57,0.54,40277.6,0.121,50883.8,102.8,105.7,8.51,0.177,32.84,50110.5,-0.01,2.67,32572,1.206,NA,NA,14.726,0.431,44.04052,-68.89126,5.9,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:26:05,0,hurricane island,0.6,0.56,40273.3,0.128,50959.2,103.1,106.1,8.55,0.186,32.89,50181.9,-0.09,2.69,32618,1.206,NA,NA,14.653,0.443,44.04052,-68.89126,5.3,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:26:06,0,hurricane island,0.61,0.58,40273.2,0.146,51057.8,103.5,106.5,8.59,0.212,32.95,50275.6,-0.16,2.71,32679,1.206,NA,NA,14.584,0.441,44.04052,-68.89126,5.4,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:26:07,0,hurricane island,0.63,0.6,40271.9,0.157,51147.7,103.7,106.8,8.62,0.229,33.01,50361.1,-0.22,2.73,32735,1.206,NA,NA,14.5,0.469,44.04053,-68.89125,4.4,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:26:08,0,hurricane island,0.64,0.59,40273.9,0.162,51260.5,103.9,106.9,8.64,0.236,33.09,50468.4,-0.3,2.71,32804,1.206,NA,NA,14.424,0.476,44.04053,-68.89125,5.2,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:26:09,0,hurricane island,0.64,0.62,40273.9,0.172,51344.6,104.3,107.4,8.69,0.25,33.15,50548.5,-0.38,2.7,32857,1.206,NA,NA,14.35,0.198,44.04052,-68.89125,5.4,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:26:10,0,hurricane island,0.63,0.62,40273.9,0.172,51418.9,108,111.2,9.01,0.25,33.2,50619.2,-0.41,2.69,32902,1.206,NA,NA,14.3,0.049,44.04052,-68.89125,5.6,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:26:11,0,hurricane island,0.59,0.59,249.5,0.172,318.8,108.3,111.4,9.03,0.25,0.15,313.8,-0.45,2.64,204,1.206,NA,NA,14.259,0.027,44.04052,-68.89125,5.4,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:26:12,0,hurricane island,0.53,0.59,110.9,0.176,141.8,107.7,110.9,11.03,0.25,0.07,139.6,-0.51,2.58,91,1.206,NA,NA,14.235,0.016,44.04052,-68.89125,5.3,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:26:13,0,hurricane island,0.48,0.6,108.2,0.176,138.4,107.3,110.4,11,0.25,0.06,136.3,-0.52,2.53,89,1.206,NA,NA,14.217,0.016,44.04052,-68.89125,4.4,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:26:14,0,hurricane island,0.41,0.59,94.7,0.176,121.2,106.8,109.9,10.95,0.25,0.06,119.3,-0.5,2.52,78,1.206,NA,NA,14.209,0.017,44.04053,-68.89125,4.4,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
